location,iso_code,last_observation_date,source_name,source_website
Algeria,DZA,2022-01-16,Ministry of Health via github.com/yasserkaddour/covid19-icu-data-algeria/,https://github.com/yasserkaddour/covid19-icu-data-algeria/
Argentina,ARG,2022-01-17,"Government of Argentina, via Rodrigo Maidana",https://www.argentina.gob.ar/coronavirus/informes-diarios/reportes
Australia,AUS,2022-01-17,Official data from states via covidbaseau.com,https://covidbaseau.com
Austria,AUT,2022-01-17,Austrian Agency for Health and Food Safety,https://covid19-dashboard.ages.at/
Belgium,BEL,2022-01-17,Sciensano,https://epistat.sciensano.be/
Bulgaria,BGR,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Canada,CAN,2022-01-17,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/
Croatia,HRV,2021-12-26,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Cyprus,CYP,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Czechia,CZE,2022-01-17,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/api/v2/covid-19
Denmark,DNK,2022-01-17,"Statens Serum Institut, covid19-data-denmark on GitHub","https://covid19.ssi.dk/overvagningsdata/download-fil-med-overvaagningdata, https://github.com/mok0/covid19-data-denmark"
Estonia,EST,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Finland,FIN,2022-01-17,Department of Health and Welfare,https://www.thl.fi/episeuranta/tautitapaukset/coronamap.html
France,FRA,2022-01-17,Santé publique France,https://www.data.gouv.fr/fr/datasets/donnees-hospitalieres-relatives-a-lepidemie-de-covid-19/
Germany,DEU,2022-01-18,Robert Koch Institute,https://github.com/robert-koch-institut/COVID-19-Hospitalisierungen_in_Deutschland/
Greece,GRC,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Hungary,HUN,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Iceland,ISL,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Ireland,IRL,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Israel,ISR,2022-01-16,"Ministry of Health, via Eran Geva on GitHub",https://datadashboard.health.gov.il/COVID-19/
Italy,ITA,2022-01-17,Ministry of Health and Higher Institute of Health,"https://github.com/pcm-dpc/COVID-19, https://covid19.infn.it/iss/"
Japan,JPN,2022-01-12,"Ministry of Health, Labour and Welfare",https://www.mhlw.go.jp/stf/seisakunitsuite/newpage_00023.html
Latvia,LVA,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Liechtenstein,LIE,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Lithuania,LTU,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Luxembourg,LUX,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Malaysia,MYS,2022-01-17,Ministry of Health,https://github.com/MoH-Malaysia/covid19-public
Malta,MLT,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Netherlands,NLD,2022-01-17,National Coordination Center Patient Distribution,https://lcps.nu/datafeed/
Norway,NOR,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Poland,POL,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Portugal,PRT,2022-01-17,"General Directorate of Health, via Data Science for Social Good Portugal",https://github.com/dssg-pt/covid19pt-data
Romania,ROU,2022-01-04,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Serbia,SRB,2022-01-17,Ministry of Health via github.com/aleksandar-jovicic/COVID19-Serbia,https://github.com/aleksandar-jovicic/COVID19-Serbia
Slovakia,SVK,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
Slovenia,SVN,2022-01-09,European Centre for Disease Prevention and Control,https://www.ecdc.europa.eu/en/publications-data/download-data-hospital-and-icu-admission-rates-and-current-occupancy-covid-19
South Africa,ZAF,2022-01-15,National Institute for Communicable Diseases,https://docs.google.com/spreadsheets/d/e/2PACX-1vRGCkIwakQ5rpfXky9FZhDwr3qUgerfhBLSzn9OsA79yQ_2G_y-_Ns9JjRJZWXD5kxJ3qicoL7bHGjE/pub?gid=1044172863&single=true
South Korea,KOR,2022-01-17,"Ministry of Health and Welfare, via WWolf on GitHub",http://ncov.mohw.go.kr/en/bdBoardList.do?brdId=16&brdGubun=161&dataGubun=&ncvContSeq=&contSeq=&board_id=
Spain,ESP,2022-01-16,"Ministry of Health, Consumption and Social Welfare",https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/capacidadAsistencial.htm
Sweden,SWE,2022-01-17,Swedish Public Health Agency,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/analys-och-prognoser/
Switzerland,CHE,2022-01-16,Federal Office of Public Health,https://www.covid19.admin.ch/
United Kingdom,GBR,2022-01-14,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,2022-01-15,U.S. Department of Health & Human Services,https://healthdata.gov/Hospital/COVID-19-Reported-Patient-Impact-and-Hospital-Capa/g62h-syeh
